Year,Quarter,Month,Day,All Cases,Average of ARRAIGN_FELONY2_SORT
2018,Qtr 3,September,30,All Cases,0.00%
2018,Qtr 4,October,1,All Cases,15.49%
2018,Qtr 4,October,2,All Cases,16.77%
2018,Qtr 4,October,3,All Cases,15.93%
2018,Qtr 4,October,4,All Cases,16.03%
2018,Qtr 4,October,5,All Cases,19.05%
2018,Qtr 4,October,6,All Cases,50.00%
2018,Qtr 4,October,9,All Cases,14.48%
2018,Qtr 4,October,10,All Cases,15.91%
2018,Qtr 4,October,11,All Cases,22.22%
2018,Qtr 4,October,12,All Cases,20.90%
2018,Qtr 4,October,13,All Cases,50.00%
2018,Qtr 4,October,14,All Cases,11.11%
2018,Qtr 4,October,15,All Cases,17.19%
2018,Qtr 4,October,16,All Cases,20.59%
2018,Qtr 4,October,17,All Cases,16.67%
2018,Qtr 4,October,18,All Cases,15.13%
2018,Qtr 4,October,19,All Cases,16.67%
2018,Qtr 4,October,21,All Cases,0.00%
2018,Qtr 4,October,22,All Cases,16.81%
2018,Qtr 4,October,23,All Cases,33.06%
2018,Qtr 4,October,24,All Cases,15.83%
2018,Qtr 4,October,25,All Cases,25.41%
2018,Qtr 4,October,26,All Cases,13.38%
2018,Qtr 4,October,27,All Cases,0.00%
2018,Qtr 4,October,28,All Cases,25.00%
2018,Qtr 4,October,29,All Cases,20.71%
2018,Qtr 4,October,30,All Cases,19.58%
2018,Qtr 4,October,31,All Cases,17.07%
2018,Qtr 4,November,1,All Cases,23.00%
2018,Qtr 4,November,2,All Cases,16.67%
2018,Qtr 4,November,3,All Cases,0.00%
2018,Qtr 4,November,5,All Cases,16.03%
2018,Qtr 4,November,6,All Cases,20.59%
2018,Qtr 4,November,7,All Cases,15.00%
2018,Qtr 4,November,8,All Cases,26.43%
2018,Qtr 4,November,9,All Cases,17.71%
2018,Qtr 4,November,11,All Cases,0.00%
2018,Qtr 4,November,12,All Cases,0.00%
2018,Qtr 4,November,13,All Cases,18.63%
2018,Qtr 4,November,14,All Cases,18.42%
2018,Qtr 4,November,15,All Cases,14.18%
2018,Qtr 4,November,16,All Cases,24.55%
2018,Qtr 4,November,17,All Cases,100.00%
2018,Qtr 4,November,18,All Cases,40.00%
2018,Qtr 4,November,19,All Cases,20.28%
2018,Qtr 4,November,20,All Cases,24.26%
2018,Qtr 4,November,21,All Cases,24.47%
2018,Qtr 4,November,25,All Cases,8.33%
2018,Qtr 4,November,26,All Cases,23.27%
2018,Qtr 4,November,27,All Cases,21.25%
2018,Qtr 4,November,28,All Cases,26.83%
2018,Qtr 4,November,29,All Cases,27.10%
2018,Qtr 4,November,30,All Cases,24.36%
2018,Qtr 4,December,1,All Cases,0.00%
2018,Qtr 4,December,2,All Cases,0.00%
2018,Qtr 4,December,3,All Cases,18.57%
2018,Qtr 4,December,4,All Cases,23.93%
2018,Qtr 4,December,5,All Cases,10.32%
2018,Qtr 4,December,6,All Cases,19.49%
2018,Qtr 4,December,7,All Cases,22.34%
2018,Qtr 4,December,8,All Cases,0.00%
2018,Qtr 4,December,10,All Cases,18.63%
2018,Qtr 4,December,11,All Cases,17.96%
2018,Qtr 4,December,12,All Cases,18.06%
2018,Qtr 4,December,13,All Cases,25.22%
2018,Qtr 4,December,14,All Cases,16.81%
2018,Qtr 4,December,17,All Cases,18.12%
2018,Qtr 4,December,18,All Cases,20.71%
2018,Qtr 4,December,19,All Cases,16.26%
2018,Qtr 4,December,20,All Cases,21.36%
2018,Qtr 4,December,21,All Cases,20.00%
2018,Qtr 4,December,22,All Cases,12.50%
2018,Qtr 4,December,24,All Cases,33.04%
2018,Qtr 4,December,26,All Cases,25.23%
2018,Qtr 4,December,27,All Cases,21.43%
2018,Qtr 4,December,28,All Cases,24.79%
2018,Qtr 4,December,30,All Cases,14.29%
2018,Qtr 4,December,31,All Cases,18.52%
2019,Qtr 1,January,1,All Cases,42.86%
2019,Qtr 1,January,2,All Cases,19.08%
2019,Qtr 1,January,3,All Cases,20.67%
2019,Qtr 1,January,4,All Cases,9.65%
2019,Qtr 1,January,5,All Cases,0.00%
2019,Qtr 1,January,6,All Cases,100.00%
2019,Qtr 1,January,7,All Cases,13.41%
2019,Qtr 1,January,8,All Cases,10.16%
2019,Qtr 1,January,9,All Cases,22.22%
2019,Qtr 1,January,10,All Cases,11.95%
2019,Qtr 1,January,11,All Cases,18.40%
2019,Qtr 1,January,12,All Cases,0.00%
2019,Qtr 1,January,13,All Cases,28.57%
2019,Qtr 1,January,14,All Cases,25.41%
2019,Qtr 1,January,15,All Cases,30.00%
2019,Qtr 1,January,16,All Cases,25.00%
2019,Qtr 1,January,17,All Cases,21.13%
2019,Qtr 1,January,18,All Cases,12.59%
2019,Qtr 1,January,19,All Cases,0.00%
2019,Qtr 1,January,20,All Cases,100.00%
2019,Qtr 1,January,21,All Cases,33.33%
2019,Qtr 1,January,22,All Cases,13.60%
2019,Qtr 1,January,23,All Cases,25.93%
2019,Qtr 1,January,24,All Cases,28.57%
2019,Qtr 1,January,25,All Cases,12.00%
2019,Qtr 1,January,26,All Cases,27.27%
2019,Qtr 1,January,27,All Cases,0.00%
2019,Qtr 1,January,28,All Cases,21.14%
2019,Qtr 1,January,29,All Cases,23.53%
2019,Qtr 1,January,30,All Cases,12.35%
2019,Qtr 1,January,31,All Cases,16.03%
2019,Qtr 1,February,1,All Cases,21.28%
2019,Qtr 1,February,3,All Cases,12.50%
2019,Qtr 1,February,4,All Cases,15.00%
2019,Qtr 1,February,5,All Cases,27.42%
2019,Qtr 1,February,6,All Cases,13.68%
2019,Qtr 1,February,7,All Cases,18.05%
2019,Qtr 1,February,8,All Cases,17.70%
2019,Qtr 1,February,9,All Cases,0.00%
2019,Qtr 1,February,10,All Cases,12.50%
2019,Qtr 1,February,11,All Cases,16.76%
2019,Qtr 1,February,12,All Cases,14.81%
2019,Qtr 1,February,13,All Cases,14.00%
2019,Qtr 1,February,14,All Cases,25.95%
2019,Qtr 1,February,15,All Cases,20.15%
2019,Qtr 1,February,18,All Cases,66.67%
2019,Qtr 1,February,19,All Cases,25.16%
2019,Qtr 1,February,20,All Cases,25.71%
2019,Qtr 1,February,21,All Cases,13.54%
2019,Qtr 1,February,22,All Cases,7.84%
2019,Qtr 1,February,24,All Cases,0.00%
2019,Qtr 1,February,25,All Cases,15.94%
2019,Qtr 1,February,26,All Cases,18.24%
2019,Qtr 1,February,27,All Cases,18.69%
2019,Qtr 1,February,28,All Cases,28.30%
2019,Qtr 1,March,1,All Cases,15.58%
2019,Qtr 1,March,3,All Cases,26.67%
2019,Qtr 1,March,4,All Cases,18.62%
2019,Qtr 1,March,5,All Cases,19.31%
2019,Qtr 1,March,6,All Cases,19.79%
2019,Qtr 1,March,7,All Cases,33.64%
2019,Qtr 1,March,8,All Cases,21.21%
2019,Qtr 1,March,9,All Cases,71.43%
2019,Qtr 1,March,10,All Cases,60.00%
2019,Qtr 1,March,11,All Cases,18.60%
2019,Qtr 1,March,12,All Cases,15.25%
2019,Qtr 1,March,13,All Cases,24.16%
2019,Qtr 1,March,14,All Cases,18.62%
2019,Qtr 1,March,15,All Cases,17.74%
2019,Qtr 1,March,16,All Cases,0.00%
2019,Qtr 1,March,17,All Cases,100.00%
2019,Qtr 1,March,18,All Cases,22.22%
2019,Qtr 1,March,19,All Cases,16.94%
2019,Qtr 1,March,20,All Cases,26.45%
2019,Qtr 1,March,21,All Cases,12.50%
2019,Qtr 1,March,22,All Cases,21.62%
2019,Qtr 1,March,23,All Cases,0.00%
2019,Qtr 1,March,24,All Cases,0.00%
2019,Qtr 1,March,25,All Cases,21.21%
2019,Qtr 1,March,26,All Cases,20.66%
2019,Qtr 1,March,27,All Cases,17.70%
2019,Qtr 1,March,28,All Cases,17.39%
2019,Qtr 1,March,29,All Cases,22.86%
2019,Qtr 1,March,30,All Cases,0.00%
2019,Qtr 1,March,31,All Cases,33.33%
2019,Qtr 2,April,1,All Cases,0.00%
2019,Qtr 2,April,2,All Cases,19.21%
2019,Qtr 2,April,3,All Cases,23.39%
2019,Qtr 2,April,4,All Cases,25.55%
2019,Qtr 2,April,5,All Cases,20.00%
2019,Qtr 2,April,6,All Cases,0.00%
2019,Qtr 2,April,7,All Cases,18.18%
2019,Qtr 2,April,8,All Cases,22.69%
2019,Qtr 2,April,9,All Cases,23.49%
2019,Qtr 2,April,10,All Cases,27.01%
2019,Qtr 2,April,11,All Cases,28.57%
2019,Qtr 2,April,12,All Cases,14.69%
2019,Qtr 2,April,13,All Cases,0.00%
2019,Qtr 2,April,14,All Cases,0.00%
2019,Qtr 2,April,15,All Cases,26.32%
2019,Qtr 2,April,16,All Cases,29.46%
2019,Qtr 2,April,17,All Cases,30.89%
2019,Qtr 2,April,18,All Cases,20.39%
2019,Qtr 2,April,19,All Cases,19.44%
2019,Qtr 2,April,20,All Cases,12.50%
2019,Qtr 2,April,22,All Cases,19.26%
2019,Qtr 2,April,23,All Cases,26.02%
2019,Qtr 2,April,24,All Cases,21.53%
2019,Qtr 2,April,25,All Cases,16.94%
2019,Qtr 2,April,26,All Cases,16.24%
2019,Qtr 2,April,27,All Cases,0.00%
2019,Qtr 2,April,28,All Cases,0.00%
2019,Qtr 2,April,29,All Cases,14.05%
2019,Qtr 2,April,30,All Cases,21.30%
2019,Qtr 2,May,1,All Cases,21.57%
2019,Qtr 2,May,2,All Cases,27.50%
2019,Qtr 2,May,3,All Cases,20.24%
2019,Qtr 2,May,4,All Cases,5.00%
2019,Qtr 2,May,5,All Cases,5.00%
2019,Qtr 2,May,6,All Cases,34.45%
2019,Qtr 2,May,7,All Cases,20.55%
2019,Qtr 2,May,8,All Cases,22.02%
2019,Qtr 2,May,9,All Cases,25.62%
2019,Qtr 2,May,10,All Cases,36.56%
2019,Qtr 2,May,11,All Cases,13.33%
2019,Qtr 2,May,12,All Cases,22.22%
2019,Qtr 2,May,13,All Cases,11.62%
2019,Qtr 2,May,14,All Cases,17.39%
2019,Qtr 2,May,15,All Cases,15.04%
2019,Qtr 2,May,16,All Cases,27.91%
2019,Qtr 2,May,17,All Cases,22.06%
2019,Qtr 2,May,18,All Cases,33.33%
2019,Qtr 2,May,19,All Cases,100.00%
2019,Qtr 2,May,20,All Cases,17.16%
2019,Qtr 2,May,21,All Cases,26.00%
2019,Qtr 2,May,22,All Cases,18.75%
2019,Qtr 2,May,23,All Cases,26.26%
2019,Qtr 2,May,24,All Cases,22.78%
2019,Qtr 2,May,26,All Cases,100.00%
2019,Qtr 2,May,27,All Cases,0.00%
2019,Qtr 2,May,28,All Cases,18.03%
2019,Qtr 2,May,29,All Cases,14.46%
2019,Qtr 2,May,30,All Cases,22.00%
2019,Qtr 2,May,31,All Cases,22.52%
2019,Qtr 2,June,1,All Cases,16.67%
2019,Qtr 2,June,2,All Cases,8.33%
2019,Qtr 2,June,3,All Cases,19.86%
2019,Qtr 2,June,4,All Cases,32.81%
2019,Qtr 2,June,5,All Cases,29.17%
2019,Qtr 2,June,6,All Cases,16.42%
2019,Qtr 2,June,7,All Cases,16.04%
2019,Qtr 2,June,8,All Cases,0.00%
2019,Qtr 2,June,9,All Cases,0.00%
2019,Qtr 2,June,10,All Cases,17.26%
2019,Qtr 2,June,11,All Cases,15.97%
2019,Qtr 2,June,12,All Cases,21.83%
2019,Qtr 2,June,13,All Cases,18.62%
2019,Qtr 2,June,14,All Cases,29.35%
2019,Qtr 2,June,15,All Cases,0.00%
2019,Qtr 2,June,16,All Cases,0.00%
2019,Qtr 2,June,17,All Cases,25.00%
2019,Qtr 2,June,18,All Cases,19.42%
2019,Qtr 2,June,19,All Cases,24.51%
2019,Qtr 2,June,20,All Cases,17.58%
2019,Qtr 2,June,21,All Cases,13.75%
2019,Qtr 2,June,22,All Cases,0.00%
2019,Qtr 2,June,23,All Cases,0.00%
2019,Qtr 2,June,24,All Cases,14.55%
2019,Qtr 2,June,25,All Cases,21.95%
2019,Qtr 2,June,26,All Cases,25.00%
2019,Qtr 2,June,27,All Cases,17.65%
2019,Qtr 2,June,28,All Cases,21.74%
2019,Qtr 2,June,29,All Cases,100.00%
2019,Qtr 2,June,30,All Cases,0.00%
2019,Qtr 3,July,1,All Cases,26.53%
2019,Qtr 3,July,2,All Cases,22.58%
2019,Qtr 3,July,3,All Cases,21.15%
2019,Qtr 3,July,4,All Cases,12.50%
2019,Qtr 3,July,5,All Cases,29.66%
2019,Qtr 3,July,7,All Cases,7.14%
2019,Qtr 3,July,8,All Cases,15.29%
2019,Qtr 3,July,9,All Cases,24.43%
2019,Qtr 3,July,10,All Cases,34.26%
2019,Qtr 3,July,11,All Cases,21.43%
2019,Qtr 3,July,12,All Cases,17.82%
2019,Qtr 3,July,13,All Cases,0.00%
2019,Qtr 3,July,14,All Cases,50.00%
2019,Qtr 3,July,15,All Cases,26.27%
2019,Qtr 3,July,16,All Cases,19.64%
2019,Qtr 3,July,17,All Cases,13.71%
2019,Qtr 3,July,18,All Cases,29.52%
2019,Qtr 3,July,19,All Cases,11.00%
2019,Qtr 3,July,20,All Cases,10.00%
2019,Qtr 3,July,22,All Cases,26.25%
2019,Qtr 3,July,23,All Cases,18.12%
2019,Qtr 3,July,24,All Cases,28.72%
2019,Qtr 3,July,25,All Cases,34.18%
2019,Qtr 3,July,26,All Cases,24.59%
2019,Qtr 3,July,27,All Cases,11.11%
2019,Qtr 3,July,28,All Cases,16.67%
2019,Qtr 3,July,29,All Cases,26.00%
2019,Qtr 3,July,30,All Cases,18.98%
2019,Qtr 3,July,31,All Cases,23.81%
2019,Qtr 3,August,1,All Cases,25.81%
2019,Qtr 3,August,2,All Cases,22.06%
2019,Qtr 3,August,3,All Cases,0.00%
2019,Qtr 3,August,4,All Cases,100.00%
2019,Qtr 3,August,5,All Cases,18.94%
2019,Qtr 3,August,6,All Cases,21.29%
2019,Qtr 3,August,7,All Cases,20.00%
2019,Qtr 3,August,8,All Cases,19.32%
2019,Qtr 3,August,9,All Cases,27.27%
2019,Qtr 3,August,10,All Cases,16.67%
2019,Qtr 3,August,11,All Cases,23.08%
2019,Qtr 3,August,12,All Cases,15.15%
2019,Qtr 3,August,13,All Cases,36.57%
2019,Qtr 3,August,14,All Cases,33.05%
2019,Qtr 3,August,15,All Cases,29.70%
2019,Qtr 3,August,16,All Cases,27.27%
2019,Qtr 3,August,18,All Cases,0.00%
2019,Qtr 3,August,19,All Cases,12.33%
2019,Qtr 3,August,20,All Cases,24.43%
2019,Qtr 3,August,21,All Cases,19.63%
2019,Qtr 3,August,22,All Cases,30.00%
2019,Qtr 3,August,23,All Cases,23.16%
2019,Qtr 3,August,24,All Cases,22.22%
2019,Qtr 3,August,25,All Cases,0.00%
2019,Qtr 3,August,26,All Cases,22.50%
2019,Qtr 3,August,27,All Cases,26.32%
2019,Qtr 3,August,28,All Cases,16.81%
2019,Qtr 3,August,29,All Cases,17.91%
2019,Qtr 3,August,30,All Cases,25.00%
2019,Qtr 3,August,31,All Cases,0.00%
2019,Qtr 3,September,1,All Cases,0.00%
2019,Qtr 3,September,2,All Cases,0.00%
2019,Qtr 3,September,3,All Cases,19.69%
2019,Qtr 3,September,4,All Cases,26.96%
2019,Qtr 3,September,5,All Cases,26.67%
2019,Qtr 3,September,6,All Cases,22.22%
2019,Qtr 3,September,7,All Cases,0.00%
2019,Qtr 3,September,8,All Cases,0.00%
2019,Qtr 3,September,9,All Cases,22.69%
2019,Qtr 3,September,10,All Cases,26.05%
2019,Qtr 3,September,11,All Cases,22.12%
2019,Qtr 3,September,12,All Cases,26.47%
2019,Qtr 3,September,13,All Cases,21.95%
2019,Qtr 3,September,14,All Cases,9.09%
2019,Qtr 3,September,15,All Cases,20.00%
2019,Qtr 3,September,16,All Cases,13.22%
2019,Qtr 3,September,17,All Cases,29.46%
2019,Qtr 3,September,18,All Cases,14.71%
2019,Qtr 3,September,19,All Cases,27.59%
2019,Qtr 3,September,20,All Cases,22.47%
2019,Qtr 3,September,21,All Cases,42.86%
2019,Qtr 3,September,22,All Cases,13.64%
2019,Qtr 3,September,23,All Cases,14.73%
2019,Qtr 3,September,24,All Cases,21.05%
2019,Qtr 3,September,25,All Cases,27.78%
2019,Qtr 3,September,26,All Cases,20.62%
2019,Qtr 3,September,27,All Cases,27.06%
2019,Qtr 3,September,28,All Cases,0.00%
2019,Qtr 3,September,30,All Cases,23.81%
2019,Qtr 4,October,1,All Cases,20.63%
2019,Qtr 4,October,2,All Cases,25.00%
2019,Qtr 4,October,3,All Cases,18.42%
2019,Qtr 4,October,4,All Cases,28.40%
2019,Qtr 4,October,6,All Cases,0.00%
2019,Qtr 4,October,7,All Cases,14.93%
2019,Qtr 4,October,8,All Cases,26.92%
2019,Qtr 4,October,9,All Cases,24.11%
2019,Qtr 4,October,10,All Cases,41.46%
2019,Qtr 4,October,11,All Cases,36.36%
2019,Qtr 4,October,12,All Cases,30.00%
2019,Qtr 4,October,13,All Cases,0.00%
2019,Qtr 4,October,14,All Cases,11.11%
2019,Qtr 4,October,15,All Cases,30.39%
2019,Qtr 4,October,16,All Cases,31.37%
2019,Qtr 4,October,17,All Cases,21.43%
2019,Qtr 4,October,18,All Cases,20.78%
2019,Qtr 4,October,19,All Cases,0.00%
2019,Qtr 4,October,20,All Cases,25.00%
2019,Qtr 4,October,21,All Cases,21.78%
2019,Qtr 4,October,22,All Cases,26.09%
2019,Qtr 4,October,23,All Cases,19.15%
2019,Qtr 4,October,24,All Cases,12.96%
2019,Qtr 4,October,25,All Cases,11.21%
2019,Qtr 4,October,26,All Cases,0.00%
2019,Qtr 4,October,27,All Cases,0.00%
2019,Qtr 4,October,28,All Cases,18.18%
2019,Qtr 4,October,29,All Cases,17.24%
2019,Qtr 4,October,30,All Cases,16.83%
2019,Qtr 4,October,31,All Cases,18.06%
2019,Qtr 4,November,1,All Cases,19.30%
2019,Qtr 4,November,2,All Cases,0.00%
2019,Qtr 4,November,3,All Cases,16.67%
2019,Qtr 4,November,4,All Cases,12.26%
2019,Qtr 4,November,5,All Cases,26.32%
2019,Qtr 4,November,6,All Cases,22.47%
2019,Qtr 4,November,7,All Cases,31.31%
2019,Qtr 4,November,8,All Cases,28.24%
2019,Qtr 4,November,9,All Cases,0.00%
2019,Qtr 4,November,10,All Cases,0.00%
2019,Qtr 4,November,11,All Cases,33.33%
2019,Qtr 4,November,12,All Cases,36.03%
2019,Qtr 4,November,13,All Cases,20.69%
2019,Qtr 4,November,14,All Cases,20.00%
2019,Qtr 4,November,15,All Cases,25.33%
2019,Qtr 4,November,16,All Cases,0.00%
2019,Qtr 4,November,17,All Cases,66.67%
2019,Qtr 4,November,18,All Cases,18.75%
2019,Qtr 4,November,19,All Cases,31.36%
2019,Qtr 4,November,20,All Cases,22.47%
2019,Qtr 4,November,21,All Cases,28.40%
2019,Qtr 4,November,22,All Cases,18.29%
2019,Qtr 4,November,23,All Cases,12.50%
2019,Qtr 4,November,24,All Cases,28.57%
2019,Qtr 4,November,25,All Cases,22.35%
2019,Qtr 4,November,26,All Cases,33.62%
2019,Qtr 4,November,27,All Cases,35.53%
2019,Qtr 4,November,29,All Cases,6.67%
2019,Qtr 4,November,30,All Cases,41.67%
2019,Qtr 4,December,1,All Cases,16.67%
2019,Qtr 4,December,2,All Cases,21.05%
2019,Qtr 4,December,3,All Cases,33.05%
2019,Qtr 4,December,4,All Cases,25.44%
2019,Qtr 4,December,5,All Cases,29.47%
2019,Qtr 4,December,6,All Cases,11.69%
2019,Qtr 4,December,7,All Cases,0.00%
2019,Qtr 4,December,8,All Cases,0.00%
2019,Qtr 4,December,9,All Cases,13.04%
2019,Qtr 4,December,10,All Cases,30.43%
2019,Qtr 4,December,11,All Cases,22.22%
2019,Qtr 4,December,12,All Cases,23.93%
2019,Qtr 4,December,13,All Cases,24.51%
2019,Qtr 4,December,14,All Cases,0.00%
2019,Qtr 4,December,16,All Cases,26.04%
2019,Qtr 4,December,17,All Cases,24.04%
2019,Qtr 4,December,18,All Cases,23.75%
2019,Qtr 4,December,19,All Cases,14.10%
2019,Qtr 4,December,20,All Cases,21.05%
2019,Qtr 4,December,21,All Cases,14.29%
2019,Qtr 4,December,22,All Cases,0.00%
2019,Qtr 4,December,23,All Cases,17.02%
2019,Qtr 4,December,24,All Cases,21.35%
2019,Qtr 4,December,26,All Cases,21.88%
2019,Qtr 4,December,27,All Cases,26.92%
2019,Qtr 4,December,28,All Cases,0.00%
2019,Qtr 4,December,29,All Cases,14.29%
2019,Qtr 4,December,30,All Cases,25.30%
2019,Qtr 4,December,31,All Cases,20.17%
2020,Qtr 1,January,1,All Cases,0.00%
2020,Qtr 1,January,2,All Cases,19.84%
2020,Qtr 1,January,3,All Cases,16.67%
2020,Qtr 1,January,4,All Cases,20.00%
2020,Qtr 1,January,5,All Cases,25.00%
2020,Qtr 1,January,6,All Cases,21.78%
2020,Qtr 1,January,7,All Cases,26.80%
2020,Qtr 1,January,8,All Cases,22.22%
2020,Qtr 1,January,9,All Cases,25.56%
2020,Qtr 1,January,10,All Cases,29.33%
2020,Qtr 1,January,11,All Cases,22.22%
2020,Qtr 1,January,12,All Cases,5.26%
2020,Qtr 1,January,13,All Cases,20.00%
2020,Qtr 1,January,14,All Cases,29.20%
2020,Qtr 1,January,15,All Cases,18.18%
2020,Qtr 1,January,16,All Cases,34.12%
2020,Qtr 1,January,17,All Cases,20.22%
2020,Qtr 1,January,18,All Cases,0.00%
2020,Qtr 1,January,19,All Cases,0.00%
2020,Qtr 1,January,20,All Cases,100.00%
2020,Qtr 1,January,21,All Cases,24.06%
2020,Qtr 1,January,22,All Cases,25.45%
2020,Qtr 1,January,23,All Cases,22.22%
2020,Qtr 1,January,24,All Cases,20.24%
2020,Qtr 1,January,25,All Cases,0.00%
2020,Qtr 1,January,26,All Cases,33.33%
2020,Qtr 1,January,27,All Cases,28.00%
2020,Qtr 1,January,28,All Cases,31.97%
2020,Qtr 1,January,29,All Cases,34.74%
2020,Qtr 1,January,30,All Cases,27.42%
2020,Qtr 1,January,31,All Cases,31.11%
2020,Qtr 1,February,1,All Cases,0.00%
2020,Qtr 1,February,2,All Cases,0.00%
2020,Qtr 1,February,3,All Cases,36.51%
2020,Qtr 1,February,4,All Cases,26.21%
2020,Qtr 1,February,5,All Cases,37.14%
2020,Qtr 1,February,6,All Cases,19.39%
2020,Qtr 1,February,7,All Cases,11.61%
2020,Qtr 1,February,8,All Cases,0.00%
2020,Qtr 1,February,9,All Cases,10.00%
2020,Qtr 1,February,10,All Cases,29.91%
2020,Qtr 1,February,11,All Cases,30.30%
2020,Qtr 1,February,12,All Cases,30.00%
2020,Qtr 1,February,13,All Cases,28.80%
2020,Qtr 1,February,14,All Cases,26.13%
2020,Qtr 1,February,15,All Cases,0.00%
2020,Qtr 1,February,16,All Cases,0.00%
2020,Qtr 1,February,17,All Cases,0.00%
2020,Qtr 1,February,18,All Cases,23.81%
2020,Qtr 1,February,19,All Cases,28.42%
2020,Qtr 1,February,20,All Cases,34.43%
2020,Qtr 1,February,21,All Cases,15.12%
2020,Qtr 1,February,22,All Cases,58.33%
2020,Qtr 1,February,23,All Cases,0.00%
2020,Qtr 1,February,24,All Cases,27.27%
2020,Qtr 1,February,25,All Cases,25.00%
2020,Qtr 1,February,26,All Cases,18.02%
2020,Qtr 1,February,27,All Cases,18.82%
2020,Qtr 1,February,28,All Cases,21.21%
2020,Qtr 1,February,29,All Cases,0.00%
2020,Qtr 1,March,2,All Cases,19.49%
2020,Qtr 1,March,3,All Cases,23.66%
2020,Qtr 1,March,4,All Cases,23.47%
2020,Qtr 1,March,5,All Cases,27.27%
2020,Qtr 1,March,6,All Cases,17.82%
2020,Qtr 1,March,7,All Cases,0.00%
2020,Qtr 1,March,8,All Cases,0.00%
2020,Qtr 1,March,9,All Cases,30.33%
2020,Qtr 1,March,10,All Cases,19.11%
2020,Qtr 1,March,11,All Cases,23.76%
2020,Qtr 1,March,12,All Cases,26.19%
2020,Qtr 1,March,13,All Cases,18.07%
2020,Qtr 1,March,14,All Cases,22.22%
2020,Qtr 1,March,15,All Cases,0.00%
2020,Qtr 1,March,16,All Cases,13.08%
2020,Qtr 1,March,17,All Cases,25.00%
2020,Qtr 1,March,18,All Cases,13.79%
2020,Qtr 1,March,19,All Cases,22.50%
2020,Qtr 1,March,20,All Cases,27.27%
2020,Qtr 1,March,22,All Cases,25.00%
2020,Qtr 1,March,23,All Cases,22.09%
2020,Qtr 1,March,24,All Cases,11.11%
2020,Qtr 1,March,25,All Cases,15.87%
2020,Qtr 1,March,26,All Cases,7.41%
2020,Qtr 1,March,27,All Cases,7.53%
2020,Qtr 1,March,28,All Cases,12.50%
2020,Qtr 1,March,29,All Cases,16.67%
2020,Qtr 1,March,30,All Cases,17.20%
2020,Qtr 1,March,31,All Cases,4.00%
2020,Qtr 2,April,1,All Cases,28.89%
2020,Qtr 2,April,2,All Cases,24.39%
2020,Qtr 2,April,3,All Cases,19.05%
2020,Qtr 2,April,4,All Cases,0.00%
2020,Qtr 2,April,5,All Cases,100.00%
2020,Qtr 2,April,6,All Cases,28.57%
2020,Qtr 2,April,7,All Cases,28.30%
2020,Qtr 2,April,8,All Cases,8.00%
2020,Qtr 2,April,9,All Cases,22.22%
2020,Qtr 2,April,10,All Cases,21.74%
2020,Qtr 2,April,11,All Cases,16.67%
2020,Qtr 2,April,12,All Cases,16.67%
2020,Qtr 2,April,13,All Cases,25.00%
2020,Qtr 2,April,14,All Cases,32.79%
2020,Qtr 2,April,15,All Cases,20.69%
2020,Qtr 2,April,16,All Cases,30.16%
2020,Qtr 2,April,17,All Cases,15.52%
2020,Qtr 2,April,18,All Cases,0.00%
2020,Qtr 2,April,19,All Cases,18.18%
2020,Qtr 2,April,20,All Cases,28.00%
2020,Qtr 2,April,21,All Cases,18.37%
2020,Qtr 2,April,22,All Cases,23.81%
2020,Qtr 2,April,23,All Cases,22.41%
2020,Qtr 2,April,24,All Cases,16.13%
2020,Qtr 2,April,25,All Cases,7.69%
2020,Qtr 2,April,26,All Cases,45.00%
2020,Qtr 2,April,27,All Cases,30.99%
2020,Qtr 2,April,28,All Cases,31.25%
2020,Qtr 2,April,29,All Cases,18.87%
2020,Qtr 2,April,30,All Cases,24.00%
2020,Qtr 2,May,1,All Cases,27.87%
2020,Qtr 2,May,2,All Cases,25.93%
2020,Qtr 2,May,3,All Cases,16.67%
2020,Qtr 2,May,4,All Cases,27.88%
2020,Qtr 2,May,5,All Cases,28.89%
2020,Qtr 2,May,6,All Cases,24.36%
2020,Qtr 2,May,7,All Cases,23.81%
2020,Qtr 2,May,8,All Cases,38.89%
2020,Qtr 2,May,9,All Cases,62.50%
2020,Qtr 2,May,10,All Cases,12.50%
2020,Qtr 2,May,11,All Cases,37.18%
2020,Qtr 2,May,12,All Cases,33.77%
2020,Qtr 2,May,13,All Cases,30.85%
2020,Qtr 2,May,14,All Cases,18.18%
2020,Qtr 2,May,15,All Cases,19.32%
2020,Qtr 2,May,16,All Cases,80.00%
2020,Qtr 2,May,17,All Cases,28.57%
2020,Qtr 2,May,18,All Cases,32.39%
2020,Qtr 2,May,19,All Cases,32.10%
2020,Qtr 2,May,20,All Cases,32.26%
2020,Qtr 2,May,21,All Cases,33.33%
2020,Qtr 2,May,22,All Cases,41.07%
2020,Qtr 2,May,23,All Cases,83.33%
2020,Qtr 2,May,24,All Cases,14.29%
2020,Qtr 2,May,25,All Cases,25.00%
2020,Qtr 2,May,26,All Cases,41.10%
2020,Qtr 2,May,27,All Cases,30.68%
2020,Qtr 2,May,28,All Cases,30.43%
2020,Qtr 2,May,29,All Cases,14.49%
2020,Qtr 2,May,30,All Cases,35.00%
2020,Qtr 2,May,31,All Cases,30.00%
2020,Qtr 2,June,1,All Cases,22.22%
2020,Qtr 2,June,2,All Cases,36.36%
